iter	Accuracy	Logloss
0	0.7986590416	0.6287309693
1	0.7996450404	0.5814751248
2	0.8010254388	0.5456777413
3	0.807533031	0.5167323664
4	0.804969434	0.4946695732
5	0.8057582331	0.4766350618
6	0.8104910274	0.4627705889
7	0.8110826267	0.4521061036
8	0.8126602248	0.4417422231
9	0.8136462236	0.4342240879
10	0.8140406232	0.4268717712
11	0.815815421	0.4215312244
12	0.8171958194	0.4172622485
13	0.8168014198	0.4130477714
14	0.8169986196	0.4079933017
15	0.8183790179	0.4047384918
16	0.8189706172	0.4018215079
17	0.8201538158	0.3983427718
18	0.8207454151	0.3956306119
19	0.8207454151	0.3929612703
20	0.8217314139	0.3904957863
21	0.8242950108	0.3880850785
22	0.8252810097	0.3855217309
23	0.8272530073	0.3836682094
24	0.8264642082	0.3820289249
25	0.8270558075	0.3798241582
26	0.8274502071	0.378141704
27	0.8290278052	0.3767024362
28	0.8304082035	0.3734738318
29	0.8309998028	0.3705188719
30	0.8311970026	0.3694360234
31	0.8321830014	0.3680061531
32	0.8329718004	0.3667332527
33	0.8337605995	0.3657587831
34	0.8355353974	0.3642383918
35	0.8361269966	0.3625816028
36	0.8361269966	0.361195024
37	0.8369157957	0.3597476607
38	0.8380989943	0.3587683547
39	0.8386905936	0.35757642
40	0.8398737922	0.3562108141
41	0.8396765924	0.3552625347
42	0.840859791	0.3539916819
43	0.8418457898	0.3524640751
44	0.8432261881	0.3506444577
45	0.8434233879	0.3487738616
46	0.8440149872	0.3478748469
47	0.8438177874	0.3470137084
48	0.845000986	0.345809363
49	0.8453953855	0.3446960786
50	0.8465785841	0.344160137
51	0.8479589824	0.3425814906
52	0.8487477815	0.341737368
53	0.8489449813	0.3408515042
54	0.8487477815	0.3400925083
55	0.8489449813	0.3390255419
56	0.8507197791	0.3372723872
57	0.8513113784	0.3364484795
58	0.8532833761	0.3350625322
59	0.8536777756	0.334086815
60	0.8546637744	0.3333589419
61	0.8552553737	0.3320990503
62	0.8550581739	0.3313831474
63	0.8562413725	0.33026533
64	0.856635772	0.3290980402
65	0.8582133701	0.3273663775
66	0.8588049694	0.3261261418
67	0.859988168	0.3250067197
68	0.8613685664	0.3241799627
69	0.8611713666	0.3235772555
70	0.8619601656	0.3219074397
71	0.8619601656	0.3208920515
72	0.8629461645	0.3199420463
73	0.8639321633	0.3186198288
74	0.8643265628	0.3178579146
75	0.8653125616	0.316872528
76	0.8664957602	0.3154864502
77	0.867481759	0.3140568156
78	0.8680733583	0.3135441692
79	0.8688621574	0.3125918622
80	0.8694537567	0.3119637411
81	0.8700453559	0.3104559665
82	0.8706369552	0.3099126199
83	0.8702425557	0.3094526381
84	0.8706369552	0.3082635698
85	0.8706369552	0.3076075678
86	0.8718201538	0.3063623319
87	0.8720173536	0.3055553141
88	0.8722145533	0.3046657974
89	0.8726089529	0.3038907593
90	0.8733977519	0.3028819899
91	0.8743837507	0.3021720118
92	0.8745809505	0.3012590441
93	0.8751725498	0.3004642034
94	0.8765529481	0.2993536803
95	0.8769473477	0.2985538704
96	0.8773417472	0.2980230593
97	0.8787221455	0.2967074259
98	0.8795109446	0.2959849621
99	0.8808913429	0.2947008547
100	0.8810885427	0.2936244439
101	0.8820745415	0.2927801055
102	0.8834549399	0.2921621864
103	0.8840465391	0.2913717715
104	0.885032538	0.2904500357
105	0.8856241373	0.2898077747
106	0.885821337	0.2893686857
107	0.8864129363	0.2886493806
108	0.8866101361	0.2879280398
109	0.8870045356	0.2871029282
110	0.8875961349	0.2858982256
111	0.8881877342	0.2853249667
112	0.8885821337	0.2844864293
113	0.889962532	0.2837751562
114	0.8903569316	0.2830965059
115	0.8909485309	0.2825639071
116	0.8919345297	0.2820251932
117	0.892526129	0.2810246696
118	0.8931177283	0.2802145306
119	0.893314928	0.2792318244
120	0.8948925261	0.2783611397
121	0.8956813252	0.2776945609
122	0.8960757247	0.2766238832
123	0.8964701242	0.2758515604
124	0.8962729245	0.2753317898
125	0.8968645238	0.2744856185
126	0.8968645238	0.2736809942
127	0.8986393216	0.2726917501
128	0.8996253204	0.271991487
129	0.8996253204	0.2704521252
130	0.900808519	0.2696690138
131	0.900808519	0.2690955464
132	0.9019917176	0.2684597115
133	0.9027805167	0.2679474115
134	0.9025833169	0.2673085104
135	0.9031749162	0.2668359219
136	0.9035693157	0.2663325993
137	0.904160915	0.2653232082
138	0.9045553145	0.2643890119
139	0.9047525143	0.2637653304
140	0.9049497141	0.2634079225
141	0.9051469138	0.2626780731
142	0.9063301124	0.2616619185
143	0.9069217117	0.2608544665
144	0.9077105107	0.2598787928
145	0.9090909091	0.2589639403
146	0.9094853086	0.2584788639
147	0.9100769079	0.2577301761
148	0.9104713074	0.2572127163
149	0.9110629067	0.2566669356
150	0.9122461053	0.2555350216
151	0.9130349044	0.2552974981
152	0.9128377046	0.2548273643
153	0.9132321041	0.2541917531
154	0.9136265036	0.2536570856
155	0.9140209032	0.2529942428
156	0.9144153027	0.2524639281
157	0.9148097022	0.2518533776
158	0.9154013015	0.2511118036
159	0.9171760994	0.2496725959
160	0.9173732992	0.2488908669
161	0.9171760994	0.2477221468
162	0.9175704989	0.24730753
163	0.9179648984	0.2464846609
164	0.9181620982	0.2460397663
165	0.9189508973	0.2454961942
166	0.9201340958	0.2448666606
167	0.9203312956	0.2444139908
168	0.9209228949	0.2437399817
169	0.9207256951	0.243334075
170	0.9213172944	0.2427676353
171	0.9215144942	0.2421756033
172	0.9223032932	0.2410941494
173	0.9230920923	0.2406971118
174	0.9232892921	0.2403315406
175	0.9238808913	0.2397485301
176	0.9246696904	0.2389750333
177	0.9246696904	0.238509976
178	0.9256556892	0.2378541099
179	0.9262472885	0.2375019504
180	0.926641688	0.2370650002
181	0.926641688	0.2367957138
182	0.9270360876	0.2362055848
183	0.9278248866	0.2359940244
184	0.9282192861	0.2352041784
185	0.9286136857	0.2346307492
186	0.9288108854	0.2339929289
187	0.929994084	0.2331329777
188	0.9303884835	0.232695217
189	0.9313744824	0.2318817808
190	0.9317688819	0.2307823387
191	0.9321632814	0.2305191843
192	0.9327548807	0.2295232884
193	0.9323604812	0.22827259
194	0.9329520805	0.227709048
195	0.9325576809	0.2270782874
196	0.9329520805	0.2265132428
197	0.93334648	0.2257850602
198	0.9337408795	0.2250683223
199	0.9349240781	0.22429675
200	0.9349240781	0.2237877019
201	0.9363044764	0.2228887243
202	0.9370932755	0.2224364017
203	0.937487675	0.2217461828
204	0.9370932755	0.2213011388
205	0.937487675	0.2209384383
206	0.9376848748	0.2207560164
207	0.937487675	0.2203358322
208	0.9388680734	0.2194656122
209	0.9394596726	0.2190408161
210	0.9396568724	0.2187520469
211	0.9398540722	0.2183424876
212	0.9402484717	0.21791005
213	0.9404456715	0.2175182231
214	0.9402484717	0.216844011
215	0.9410372708	0.2165428173
216	0.94162887	0.2161143485
217	0.9420232696	0.2158174673
218	0.9418260698	0.2148692974
219	0.9426148689	0.2145579798
220	0.9426148689	0.2142198261
221	0.9428120686	0.2137308479
222	0.9432064682	0.2136692716
223	0.9436008677	0.2133410518
224	0.9439952672	0.213048162
225	0.944981266	0.2120873509
226	0.9451784658	0.2118412078
227	0.9451784658	0.2113995025
228	0.9451784658	0.2109647025
229	0.9457700651	0.2105386846
230	0.9459672648	0.2103540356
231	0.9459672648	0.2100362519
232	0.9459672648	0.2093931377
233	0.9459672648	0.2091700389
234	0.9455728653	0.208851331
235	0.9463616644	0.2082412213
236	0.9461644646	0.2072516246
237	0.9465588641	0.2069288707
238	0.9465588641	0.2066159013
239	0.9465588641	0.2063094949
240	0.9465588641	0.2060749164
241	0.9465588641	0.2053608053
242	0.9473476632	0.2044947792
243	0.9473476632	0.2036915901
244	0.9473476632	0.2033599321
245	0.948333662	0.2027458251
246	0.9489252613	0.2021211644
247	0.9491224611	0.2017126385
