iter	Passed	Remaining
0	29	29118
1	37	18694
2	43	14555
3	50	12526
4	56	11257
5	62	10309
6	67	9645
7	73	9117
8	81	8932
9	89	8822
10	94	8499
11	99	8195
12	104	7932
13	109	7724
14	115	7571
15	120	7417
16	126	7288
17	131	7169
18	136	7046
19	142	6962
20	147	6868
21	152	6792
22	158	6727
23	163	6664
24	169	6606
25	174	6539
26	180	6490
27	185	6455
28	191	6411
29	196	6364
30	202	6328
31	208	6299
32	213	6259
33	218	6219
34	224	6185
35	230	6165
36	235	6131
37	240	6092
38	246	6068
39	252	6048
40	257	6020
41	263	6001
42	268	5983
43	274	5964
44	279	5935
45	285	5918
46	290	5895
47	296	5883
48	301	5857
49	307	5835
50	312	5810
51	317	5796
52	323	5786
53	329	5767
54	335	5759
55	340	5747
56	346	5737
57	352	5722
58	358	5715
59	363	5699
60	369	5684
61	374	5668
62	379	5650
63	385	5631
64	390	5619
65	396	5606
66	401	5587
67	406	5576
68	412	5560
69	417	5548
70	423	5535
71	428	5526
72	434	5513
73	439	5497
74	444	5482
75	450	5471
76	455	5460
77	461	5451
78	466	5443
79	472	5433
80	477	5421
81	483	5413
82	489	5408
83	495	5404
84	501	5393
85	506	5385
86	512	5375
87	517	5365
88	523	5356
89	528	5342
90	533	5331
91	539	5320
92	544	5312
93	550	5305
94	556	5299
95	561	5288
96	567	5279
97	572	5271
98	578	5265
99	584	5260
100	589	5249
101	595	5241
102	600	5232
103	606	5222
104	611	5213
105	617	5205
106	622	5192
107	627	5182
108	633	5174
109	638	5164
110	644	5158
111	649	5152
112	655	5144
113	660	5136
114	666	5128
115	671	5120
116	677	5113
117	682	5104
118	688	5094
119	693	5087
120	698	5077
121	704	5067
122	709	5059
123	715	5052
124	720	5046
125	726	5040
126	732	5035
127	738	5027
128	743	5020
129	749	5014
130	755	5009
131	760	5003
132	766	4998
133	772	4991
134	778	4987
135	784	4981
136	790	4981
137	797	4978
138	802	4972
139	807	4963
140	813	4954
141	818	4947
142	823	4937
143	829	4930
144	835	4923
145	840	4917
146	846	4912
147	851	4903
148	856	4893
149	862	4884
150	867	4877
151	872	4868
152	878	4861
153	883	4854
154	889	4849
155	895	4842
156	900	4835
157	905	4827
158	911	4820
159	916	4813
160	922	4806
161	928	4801
162	933	4792
163	938	4783
164	943	4775
165	949	4768
166	956	4772
167	962	4766
168	968	4760
169	973	4752
170	979	4746
171	984	4741
172	990	4734
173	995	4726
174	1000	4718
175	1006	4710
176	1011	4702
177	1029	4756
178	1035	4750
179	1041	4743
